function,runtime_seconds,column_length,avg_row_length,avg_num_hinges,max_num_hinges,num_branches
learn_structures_for_single_column,11.9000000954,999,19.3723723724,1,7,10
learn_structures_for_single_column,16.6899998188,999,19.4044044044,1,7,10
learn_structures_for_single_column,28.760999918,999,19.3223223223,1,7,10
learn_structures_for_single_column,25.629999876,999,19.3723723724,1,7,10
learn_structures_for_single_column,28.5610001087,999,19.4044044044,1,7,10
learn_structures_for_single_column,19.3900001049,999,19.3223223223,1,7,10
learn_structures_for_single_column,32.3619999886,999,19.3723723724,1,7,10
learn_structures_for_single_column,31.621999979,999,19.4044044044,1,7,10
learn_structures_for_single_column,14.3020000458,999,19.3223223223,1,7,10
learn_structures_for_single_column,26.7799999714,999,19.3723723724,1,7,10
learn_structures_for_single_column,15.0920000076,999,19.4044044044,1,7,10
learn_structures_for_single_column,20.8989999294,999,19.3223223223,1,7,10
learn_structures_for_single_column,8.90999984741,999,19.3723723724,1,7,9
learn_structures_for_single_column,37.8389999866,999,19.4044044044,1,7,10
learn_structures_for_single_column,15.0899999142,999,19.3223223223,1,7,10
learn_structures_for_single_column,12.486000061,999,19.3723723724,1,7,10
learn_structures_for_single_column,32.2300000191,999,19.4044044044,1,7,10
learn_structures_for_single_column,21.4400000572,999,19.3223223223,1,7,10
learn_structures_for_single_column,20.4000000954,999,19.3723723724,1,7,9
learn_structures_for_single_column,22.881000042,999,19.4044044044,1,7,10
learn_structures_for_single_column,23.8499999046,999,19.3223223223,1,7,10
learn_structures_for_single_column,16.6920001507,999,19.3723723724,1,7,10
learn_structures_for_single_column,54.4459998608,999,19.4044044044,1,7,10
learn_structures_for_single_column,33.5299999714,999,19.3223223223,1,7,10
learn_structures_for_single_column,49.996999979,999,19.3723723724,1,7,10
learn_structures_for_single_column,32.8190000057,999,19.4044044044,1,7,10
learn_structures_for_single_column,18.871999979,999,19.3223223223,1,7,10
learn_structures_for_single_column,35.129999876,999,19.3723723724,1,7,9
learn_structures_for_single_column,27.120000124,999,19.4044044044,1,7,10
learn_structures_for_single_column,16.4609999657,999,19.3223223223,1,7,10
